id,post_url,date,summary
128743944310,http://derekg.org/post/128743944310/let-me-have-men-about-me-that-are-fat,2015-09-10 01:12:14 GMT,"Let me have men about me that are fat, 
Sleek-headed men and such as sleep a-nights. 
Yond Cassius has a lean and hungry look,..."
108942984840,http://derekg.org/post/108942984840/i-went-to-olive-garden-last-night-and-the-lowlifes,2015-01-23 21:20:14 GMT,I went to Olive Garden last night and the lowlifes that I was with got so rowdy that we were told repeatedly to quiet down and...
107106514607,http://derekg.org/post/107106514607/kitsch-meant-something-different-in-the-age-of,2015-01-04 13:00:12 GMT,Kitsch meant something different in the age of Tumblr.
102531255775,http://derekg.org/post/102531255775/one-early-morning-after-the-bars-had-closed-they,2014-11-13 14:47:20 GMT,"One early morning, after the bars had closed, they found themselves at a funeral home in Bleecker Street where it was possible..."
102273979830,http://derekg.org/post/102273979830/i-dont-like-los-angeles-the-people-are-awful-and,2014-11-10 13:55:33 GMT,"I don’t like Los Angeles. The people are awful and terribly shallow, and everybody wants to be famous but nobody wants to play..."
82349258726,http://derekg.org/post/82349258726/you-may-want-to-consider-rewording-the-statement,2014-04-11 02:38:49 GMT,"You may want to consider rewording the statement above to exclude this word or phrase. To rewrite, close or minimize this window..."
81833729364,http://derekg.org/post/81833729364/as-an-old-person-i-know-a-bunch-of-wisdom,2014-04-06 01:20:21 GMT,"As an old person, i know a bunch of wisdom."
80589075381,http://derekg.org/post/80589075381/we-know-she-knows-the-internet,2014-03-24 17:38:55 GMT,We know she knows the internet.
74477566425,http://derekg.org/post/74477566425/a-man-does-not-exist-until-he-is-drunk,2014-01-25 10:02:27 GMT,A man does not exist until he is drunk.
74191308016,http://derekg.org/post/74191308016/just-in-case-gottfrid-forgot-how-meaningful-those,2014-01-22 18:56:46 GMT,"Just in case Gottfrid forgot how meaningful those 1964 accomplishments were, he received an emphatic reminder Saturday. The..."
73892369119,http://derekg.org/post/73892369119/in-one-recent-example-walmart-recalled-donkey,2014-01-20 00:59:20 GMT,"In one recent example, Walmart recalled donkey meat that it was selling at several outlets in China after it was found to have..."
67694224738,http://derekg.org/post/67694224738/list-index-out-of-range,2013-11-21 22:31:34 GMT,list index out of range
62923674471,http://derekg.org/post/62923674471/robust-engaged-proud,2013-10-02 19:55:35 GMT,"robust, engaged, proud"
55863765704,http://derekg.org/post/55863765704/its-pretty-easy-to-come-up-with-ideas-he-said,2013-07-19 11:14:55 GMT,"“It’s pretty easy to come up with ideas,” he said. “It’s pretty hard to make them real and get them to billions of people. And..."
52810488395,http://derekg.org/post/52810488395/i-will-be-the-leader-of-a-company-that-ends-up,2013-06-12 20:00:31 GMT,"I will be the leader of a company that ends up being worth billions of dollars, because I got the answers. I understand culture...."
52784278482,http://derekg.org/post/52784278482/ive-had-meetings-where-a-guy-actually-told-me,2013-06-12 12:00:29 GMT,"I’ve had meetings where a guy actually told me, “What we’re trying to figure out is how we can control you.” In the meeting, to..."
52783568991,http://derekg.org/post/52783568991/its-only-led-me-to-complete-awesomeness-at-all,2013-06-12 11:39:08 GMT,"It’s only led me to complete awesomeness at all times. It’s only led me to awesome truth and awesomeness. Beauty, truth,..."
51241890779,http://derekg.org/post/51241890779/i-really-feel-like-there-should-be-more-lasers,2013-05-24 19:20:56 GMT,I really feel like there should be more lasers
50690247465,http://derekg.org/post/50690247465/i-dont-know-what-this-means-like-meat-what,2013-05-18 00:44:19 GMT,"I don’t know what this means, like, “meat”? What is “meat”?"
47064357394,http://derekg.org/post/47064357394/we-used-to-do-that-in-the-80s-too,2013-04-04 00:17:28 GMT,We used to do that in the 80’s too
